이번에 새로온 주민이 너구나?,MermaidSample,0,4,Daily,None,TRUE,0
왜 인어 처음봐?,MermaidSample,0,4,Daily,OFF,FALSE,5
오늘 또 왔네?,MermaidSample,5,9,Daily,None,TRUE,0
낚시 말고 뭐하고 살아?,MermaidSample,5,9,Daily,None,TRUE,0
난 육지 이야기 듣는게 좋아,MermaidSample,5,9,Daily,OFF,FALSE,5
그런 낚시대로 뭘 낚을 수 있겠냐?,MermaidSample,0,9,Refeat,OFF,FALSE,0
낚시대가 그래서는 대어를 낚겠어?,MermaidSample,10,14,Daily,None,TRUE,0
나중에 다시오면 전문가 좀 불러줄까?,MermaidSample,10,14,Daily,OFF,FALSE,5
뭔가 더 좋은 낚시대를 얻고 싶다고?,MermaidSample,15,19,Daily,None,TRUE,0
글쎄 아직 사람이 쓸 정도로 만들어지지 않았다고 하더라,MermaidSample,15,19,Daily,None,TRUE,0
무슨 이야기냐고?,MermaidSample,15,19,Daily,None,TRUE,0
인어가 쓰는 낚시대가 있는데 사람은 못쓴데,MermaidSample,15,19,Daily,OFF,FALSE,5
니가 뭘 낚든 내 친구는 아니야.,MermaidSample,10,19,Refeat,OFF,FALSE,0
가끔 가다가 걷고 싶은거 있지?,MermaidSample,20,24,Daily,None,TRUE,0
사실 걸어본적도 없는데,MermaidSample,20,24,Daily,None,TRUE,0
너희도 수영하고 싶은거랑 비슷할 수도,MermaidSample,20,24,Daily,OFF,FALSE,5
저기 저 멀리 있는 선박 보여?,MermaidSample,25,100,Daily,None,TRUE,0
어부들이 어제 술 마시면서 말하던데,MermaidSample,25,100,Daily,None,TRUE,0
그 주위에 신기한 물고기가 산다고 하더라,MermaidSample,25,100,Daily,None,TRUE,0
나도 본적 없는데,MermaidSample,25,100,Daily,OFF,FALSE,0
그래서 오늘을 큰거 잡았어?,MermaidSample,20,100,Refeat,OFF,FALSE,0
